demographic_probability,probability_percent,demographic_fusion_score
0.005,0.5,0.18016820762060257
0.006829692382559751,0.6829692382559751,0.2312038633118963
0.01,1.0,0.3063958931973009
0.022355001545276604,2.2355001545276605,0.5
0.03,3.0,0.5749308346291322
0.05,5.0,0.697127745537354
0.075,7.5,0.7800213704485055
0.1,10.0,0.8293279734335401
0.15,15.0,0.8852887216642308
0.39509856660653553,39.509856660653554,0.9661757019660455
