rank_test_score,mean_test_score,std_test_score,param_classifier__C,param_classifier__l1_ratio
1,0.0615885959830374,0.01632893735058041,1.0,0.75
2,0.061454048946300265,0.016234974707186843,1.0,1.0
3,0.06098826911653319,0.015065134398026366,1.0,0.5
4,0.05891348092019634,0.014392842479207154,0.2,0.5
5,0.0584007339576201,0.015023794603606443,0.2,0.75
6,0.05741720107847757,0.014933911652321233,0.2,1.0
